Window,Window_Start,Window_End,Policy_Announcement_Date,Market_Response_Day_Zero,Analysis_Level,Entity,Sector,Event_Observations,Event_Cumulative_Return,Event_Mean_Daily_Return,Event_Daily_Volatility,Event_Mean_Abnormal_Return,Event_Cumulative_Abnormal_Return,Baseline_Observations,Baseline_Cumulative_Return,Baseline_Mean_Daily_Return,Baseline_Daily_Volatility,Baseline_Mean_Abnormal_Return,Baseline_Cumulative_Abnormal_Return,Volatility_Change
Wide_2016-10-08_to_2017-01-08,2016-10-10,2017-01-06,2016-11-08,2016-11-09,Stock,ADANIPORTS,Services,62,0.07195053400787055,0.0014610445481980131,0.026443294543814416,0.002284093090609591,0.14161377161779465,247,-0.15164520743919818,-0.00036067779318858475,0.02469769967530922,-0.000651426409749632,-0.16090232320815911,0.001745594868505198
Wide_2016-10-08_to_2017-01-08,2016-10-10,2017-01-06,2016-11-08,2016-11-09,Stock,ASIANPAINT,Consumer Durables,62,-0.21534695255782532,-0.003695177991806919,0.020485822564740058,-0.002872129449395341,-0.17807202586251114,247,0.3694006126813463,0.0013747098384541633,0.014278444775569516,0.0010839612218931161,0.26773842180759966,0.0062073777891705414
Wide_2016-10-08_to_2017-01-08,2016-10-10,2017-01-06,2016-11-08,2016-11-09,Stock,AXISBANK,Financial Services,62,-0.14732602791046212,-0.002397737715975125,0.018426802693084058,-0.0015746891735635472,-0.09763072876093992,247,0.07457729468599128,0.000477113316952498,0.019330554142952327,0.00018636470039145068,0.04603208099668832,-0.0009037514498682689
Wide_2016-10-08_to_2017-01-08,2016-10-10,2017-01-06,2016-11-08,2016-11-09,Stock,BAJAJ-AUTO,Automobile and Auto Components,62,-0.061088954395699724,-0.0009133842236885382,0.014450063952778222,-9.033568127696011e-05,-0.0056008122391715265,247,0.1760747206134261,0.0007627375485445701,0.014607997235168594,0.00047198893198352286,0.11658126619993014,-0.00015793328239037223
Wide_2016-10-08_to_2017-01-08,2016-10-10,2017-01-06,2016-11-08,2016-11-09,Stock,BAJAJFINSV,Financial Services,62,-0.05438354207343232,-0.0006371760656902553,0.023131623277574048,0.00018587247672132283,0.011524093556722015,247,0.7763146764415647,0.0025097959126119383,0.019115488577610706,0.002219047296050891,0.5481046821245701,0.004016134699963342
Wide_2016-10-08_to_2017-01-08,2016-10-10,2017-01-06,2016-11-08,2016-11-09,Stock,BAJFINANCE,Financial Services,62,-0.18849884526558858,-0.002901429516166438,0.030720921690773326,-0.0020783809737548596,-0.1288596203728013,246,1.0715430915290218,0.003190287587274032,0.021352229426650306,0.0029141287616269614,0.7168756753602324,0.00936869226412302
Wide_2016-10-08_to_2017-01-08,2016-10-10,2017-01-06,2016-11-08,2016-11-09,Stock,BHARTIARTL,Telecommunication,62,0.0009391141023624705,0.00016502345156428668,0.017491744592894966,0.0009880719939758648,0.061260463626503614,247,-0.06770757332554889,-0.00014063838702976894,0.016932960574393623,-0.00043138700359081627,-0.10655258988693161,0.0005587840185013425
Wide_2016-10-08_to_2017-01-08,2016-10-10,2017-01-06,2016-11-08,2016-11-09,Stock,BPCL,Oil Gas & Consumable Fuels,62,0.001959159068645633,0.0001468901858578487,0.015323861833661724,0.0009699387282694268,0.06013620115270446,246,0.5781309720530623,0.0020152294908882605,0.017917362281243746,0.0017225833772006895,0.42375551079136964,-0.002593500447582022
Wide_2016-10-08_to_2017-01-08,2016-10-10,2017-01-06,2016-11-08,2016-11-09,Stock,BRITANNIA,Fast Moving Consumer Goods,62,-0.1451877223805229,-0.0024224023895675277,0.01453857516100466,-0.0015993538471559497,-0.09915993852366889,247,0.04653821788909451,0.00033688160539815677,0.01753695512429545,4.613298883710948e-05,0.011394848242766042,-0.002998379963290788
Wide_2016-10-08_to_2017-01-08,2016-10-10,2017-01-06,2016-11-08,2016-11-09,Stock,CIPLA,Healthcare,62,0.022454170686782238,0.0004966905312375238,0.01684559695435452,0.001319739073649102,0.08182382256624432,247,-0.16267626321974105,-0.0006131555186797262,0.014547691260787102,-0.0009039041352407735,-0.22326432140447106,0.002297905693567418
